beta,time,cost
0.000000,65,2111364672669.441162
0.000000,65,2151095272351.619141
0.000000,65,2137849540949.475098
0.000000,65,2087425435831.255127
0.000000,64,2195065312593.773682
0.000000,64,2093415220581.355713
0.000000,63,2017527601290.883057
0.000000,64,2119707318376.071777
0.000000,66,2088105742990.542725
0.000000,65,2087358906588.999268
0.000000,64,2015016483564.028076
0.000000,65,2137177895164.239014
0.000000,64,2015036216913.075439
0.000000,64,2146305609764.375488
0.000000,66,2094753425952.418701
0.000000,65,2034676857351.605957
0.000000,63,2115437272209.550049
0.000000,68,2034430122532.248535
0.000000,63,2126989327532.219971
0.000000,65,2008327847281.301025
0.000000,64,2047729331106.391113
0.000000,64,2089772979880.212891
0.000000,63,2029180027546.875488
0.000000,67,2160784673467.482422
0.000000,65,2140626584260.803223
0.000000,64,2017768479029.551758
0.000000,66,2100602268513.318848
0.000000,64,2154337374378.985352
0.000000,65,2150025978311.751221
0.000000,64,2199591834053.012695
0.000000,64,2171618832900.475098
0.000000,63,2171730882515.337158
0.000000,64,2174150494093.474609
0.000000,65,2081329088923.265869
0.000000,66,2044586388287.454590
0.000000,63,2100272564254.960449
0.000000,64,2146462575686.455811
0.000000,62,2172943205870.780762
0.000000,63,2092500054170.701904
0.000000,64,2061897859532.264160
0.000000,66,2061796954735.835205
0.000000,66,2157076049033.620850
0.000000,63,2122359142674.480225
0.000000,63,2062034922217.520020
0.000000,63,2017386269682.461914
0.000000,64,2155788196960.552490
0.000000,65,2179265083164.466064
0.000000,64,2059820023492.622070
0.000000,67,1978709269838.815674
0.000000,64,2136581064516.021973
0.000000,64,2188999390252.116455
0.000000,63,2078418752332.749023
0.000000,67,2151344057836.093262
0.000000,63,2138800992066.748291
0.000000,65,2171429733007.520996
0.000000,66,2037433742775.284180
0.000000,63,2103181307285.933594
0.000000,64,2082035147852.682373
0.000000,64,2083735485354.568604
0.000000,65,2084644218317.642090
0.000000,63,2159611485882.881348
0.000000,65,2130519822345.617188
0.000000,63,2103512221283.903076
0.000000,64,2079392101950.078857
0.000000,63,2135599352818.608887
0.000000,63,2127628107814.570801
0.000000,64,2157081395387.042725
0.000000,63,2072427765973.506836
0.000000,64,2097353058793.985352
