beta,time_mean,time_std,time_var,time_min,time_max,cost_mean,cost_std,cost_var,cost_min,cost_max,valid_samples
0.640000,103.011000,0.104302,0.010879,103.000000,104.000000,2109931147874.398438,50432770049.665817,2543464294882469216256.000000,1942138627955.101807,2253193715392.341309,1000
0.650000,103.011000,0.104302,0.010879,103.000000,104.000000,2109409808641.683838,51039669414.315964,2605047853922660122624.000000,1942141139961.759766,2261913407214.793457,1000
0.660000,103.010000,0.099499,0.009900,103.000000,104.000000,2110409661185.232178,50924962692.263100,2593351825208388878336.000000,1942143286679.430176,2261917489191.869629,1000
0.670000,103.010000,0.099499,0.009900,103.000000,104.000000,2110590594910.385742,50522035220.739281,2552476042845620273152.000000,1942145088674.963135,2265341417041.579590,1000
0.680000,103.012000,0.108885,0.011856,103.000000,104.000000,2109059956577.441895,51104654145.032242,2611685675283361300480.000000,1942146584634.797119,2267715720248.949707,1000
0.690000,103.012000,0.108885,0.011856,103.000000,104.000000,2109310409810.426758,50794144643.419319,2580045130056603271168.000000,1942147845088.186035,2267713817913.680176,1000
0.700000,103.012000,0.108885,0.011856,103.000000,104.000000,2109124605355.782959,51532768527.182259,2655626232076146573312.000000,1942148996195.401367,2267711988130.233398,1000
0.710000,103.011000,0.104302,0.010879,103.000000,104.000000,2111492063033.735596,51478666940.912659,2650053150013413916672.000000,1965313996014.804443,2267710468910.604980,1000
0.720000,103.010000,0.099499,0.009900,103.000000,104.000000,2111411996934.387451,51433502203.632111,2645405148931028942848.000000,1965326923182.298584,2267709678986.524414,1000
0.730000,103.013000,0.113274,0.012831,103.000000,104.000000,2111110868463.298584,51922614535.249840,2695957900176137912320.000000,1965343151166.897949,2267710341958.053711,1000
0.740000,103.014000,0.117490,0.013804,103.000000,104.000000,2110903928741.953369,51061958863.463791,2607323642974068277248.000000,1965364779979.643799,2267713692073.250000,1000
0.750000,103.013000,0.113274,0.012831,103.000000,104.000000,2110808957551.100098,51008485635.101204,2601865606786325676032.000000,1965395190221.385010,2267721812985.478027,1000
0.760000,103.014000,0.117490,0.013804,103.000000,104.000000,2111416708689.314941,50738835246.845833,2574429402206564777984.000000,1965439789418.565674,2267738191684.725586,1000
